*HD111721h
*
*  Heap STIS not version 2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     4492.62    2.23619E-12
     4495.36    2.23164E-12
     4498.10    2.24859E-12
     4500.84    2.27007E-12
     4503.58    2.32342E-12
     4506.32    2.34342E-12
     4509.06    2.34231E-12
     4511.80    2.30128E-12
     4514.54    2.27288E-12
     4517.28    2.24714E-12
     4520.02    2.25680E-12
     4522.76    2.21231E-12
     4525.50    2.16750E-12
     4528.24    2.11466E-12
     4530.98    2.12607E-12
     4533.72    2.11024E-12
     4536.46    2.22153E-12
     4539.20    2.26508E-12
     4541.94    2.27076E-12
     4544.68    2.23167E-12
     4547.42    2.19075E-12
     4550.16    2.14543E-12
     4552.90    2.15987E-12
     4555.64    2.21280E-12
     4558.38    2.28383E-12
     4561.12    2.31258E-12
     4563.86    2.27060E-12
     4566.60    2.28257E-12
     4569.34    2.30495E-12
     4572.08    2.28217E-12
     4574.82    2.31298E-12
     4577.56    2.29792E-12
     4580.30    2.25402E-12
     4583.04    2.23206E-12
     4585.78    2.25968E-12
     4588.52    2.28690E-12
     4591.26    2.26785E-12
     4594.00    2.29855E-12
     4596.74    2.30308E-12
     4599.48    2.27598E-12
     4602.22    2.28371E-12
     4604.96    2.31592E-12
     4607.70    2.34345E-12
     4610.44    2.34675E-12
     4613.18    2.32329E-12
     4615.92    2.31322E-12
     4618.66    2.32125E-12
     4621.40    2.35118E-12
     4624.14    2.35204E-12
     4626.88    2.34493E-12
     4629.62    2.34392E-12
     4632.36    2.33757E-12
     4635.10    2.33364E-12
     4637.84    2.32021E-12
     4640.58    2.33918E-12
     4643.32    2.35646E-12
     4646.06    2.31627E-12
     4648.80    2.31383E-12
     4651.54    2.32500E-12
     4654.28    2.30012E-12
     4657.02    2.32285E-12
     4659.76    2.38200E-12
     4662.50    2.37666E-12
     4665.24    2.30901E-12
     4667.98    2.26374E-12
     4670.72    2.30867E-12
     4673.46    2.34879E-12
     4676.20    2.36133E-12
     4678.94    2.33600E-12
     4681.68    2.32993E-12
     4684.42    2.35337E-12
     4687.16    2.37380E-12
     4689.90    2.36135E-12
     4692.64    2.36180E-12
     4695.38    2.38388E-12
     4698.12    2.34526E-12
     4700.86    2.32067E-12
     4703.60    2.31319E-12
     4706.34    2.30811E-12
     4709.08    2.30293E-12
     4711.82    2.33033E-12
     4714.56    2.36292E-12
     4717.30    2.38822E-12
     4720.04    2.40287E-12
     4722.78    2.38788E-12
     4725.52    2.39132E-12
     4728.26    2.36325E-12
     4731.00    2.35571E-12
     4733.74    2.35652E-12
     4736.48    2.36014E-12
     4739.22    2.38090E-12
     4741.96    2.41124E-12
     4744.70    2.41573E-12
     4747.44    2.40625E-12
     4750.18    2.40343E-12
     4752.92    2.39562E-12
     4755.66    2.37412E-12
     4758.40    2.35950E-12
     4761.14    2.32890E-12
     4763.88    2.30265E-12
     4766.62    2.33610E-12
     4769.36    2.37593E-12
     4772.10    2.39161E-12
     4774.84    2.38994E-12
     4777.58    2.39307E-12
     4780.32    2.38571E-12
     4783.06    2.36732E-12
     4785.80    2.33387E-12
     4788.54    2.33590E-12
     4791.28    2.37069E-12
     4794.02    2.40599E-12
     4796.76    2.39454E-12
     4799.50    2.37591E-12
     4802.24    2.39240E-12
     4804.98    2.38141E-12
     4807.72    2.36461E-12
     4810.46    2.37666E-12
     4813.20    2.39877E-12
     4815.94    2.42196E-12
     4818.68    2.42225E-12
     4821.42    2.38356E-12
     4824.16    2.37091E-12
     4826.90    2.38476E-12
     4829.64    2.38839E-12
     4832.38    2.38670E-12
     4835.12    2.40136E-12
     4837.86    2.37242E-12
     4840.60    2.33359E-12
     4843.34    2.36345E-12
     4846.08    2.38134E-12
     4848.82    2.36882E-12
     4851.56    2.36474E-12
     4854.30    2.31080E-12
     4857.04    2.21501E-12
     4859.78    2.01423E-12
     4862.52    1.99145E-12
